division_code,division,groups,fields
30,"Agricultural, Veterinary and Food Sciences",10,95
31,Biological Sciences,10,98
32,Biomedical and Clinical Sciences,16,129
33,Built Environment and Design,5,51
34,Chemical Sciences,8,63
35,"Commerce, Management, Tourism and Services",10,91
36,Creative Arts and Writing,7,35
37,Earth Sciences,10,65
38,Economics,4,35
39,Education,5,43
40,Engineering,20,196
41,Environmental Sciences,7,38
42,Health Sciences,9,71
43,"History, Heritage and Archaeology",4,44
44,Human Society,11,116
45,Indigenous Studies,20,320
46,Information and Computing Sciences,14,132
47,"Language, Communication and Culture",6,91
48,Law and Legal Studies,8,62
49,Mathematical Sciences,6,48
50,Philosophy and Religious Studies,6,50
51,Physical Sciences,11,58
52,Psychology,6,36
