concept_id,discipline_id,canonical_concept,concept_type,short_definition
CF-300101,ANZ-300101,Agricultural biotechnology diagnostics (incl. biosensors),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300102,ANZ-300102,Agricultural marine biotechnology,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300103,ANZ-300103,Agricultural molecular engineering of nucleic acids and proteins,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300104,ANZ-300104,Genetically modified animals,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300105,ANZ-300105,Genetically modified field crops and pasture,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300106,ANZ-300106,Genetically modified horticulture plants,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300107,ANZ-300107,Genetically modified trees,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300108,ANZ-300108,Livestock cloning,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300109,ANZ-300109,Non-genetically modified uses of biotechnology,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300110,ANZ-300110,Transgenesis,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300199,ANZ-300199,Agricultural biotechnology not elsewhere classified,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300201,ANZ-300201,Agricultural hydrology,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300202,ANZ-300202,Agricultural land management,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300203,ANZ-300203,Agricultural land planning,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300204,ANZ-300204,Agricultural management of nutrients,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300205,ANZ-300205,Agricultural production systems simulation,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300206,ANZ-300206,Agricultural spatial analysis and modelling,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300207,ANZ-300207,Agricultural systems analysis and modelling,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300208,ANZ-300208,"Farm management, rural management and agribusiness",other,ANZSRC-recognized research subject-area retrieval anchor
CF-300209,ANZ-300209,Germplasm management,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300210,ANZ-300210,Sustainable agricultural development,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300299,ANZ-300299,"Agriculture, land and farm management not elsewhere classified",other,ANZSRC-recognized research subject-area retrieval anchor
CF-300301,ANZ-300301,Animal growth and development,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300302,ANZ-300302,Animal management,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300303,ANZ-300303,Animal nutrition,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300304,ANZ-300304,Animal protection (incl. pests and pathogens),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300305,ANZ-300305,Animal reproduction and breeding,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300306,ANZ-300306,Animal welfare,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300307,ANZ-300307,Environmental studies in animal production,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300399,ANZ-300399,Animal production not elsewhere classified,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300401,ANZ-300401,Agrochemicals and biocides (incl. application),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300402,ANZ-300402,Agro-ecosystem function and prediction,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300403,ANZ-300403,Agronomy,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300404,ANZ-300404,Crop and pasture biochemistry and physiology,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300405,ANZ-300405,Crop and pasture biomass and bioproducts,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300406,ANZ-300406,Crop and pasture improvement (incl. selection and breeding),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300407,ANZ-300407,Crop and pasture nutrition,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300408,ANZ-300408,Crop and pasture post harvest technologies (incl. transportation and storage),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300409,ANZ-300409,"Crop and pasture protection (incl. pests, diseases and weeds)",other,ANZSRC-recognized research subject-area retrieval anchor
CF-300410,ANZ-300410,Crop and pasture waste water use,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300411,ANZ-300411,Fertilisers (incl. application),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300412,ANZ-300412,Organic and low chemical input crop production,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300413,ANZ-300413,Pollination biology and systems,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300499,ANZ-300499,Crop and pasture production not elsewhere classified,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300501,ANZ-300501,Aquaculture,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300502,ANZ-300502,Aquaculture and fisheries stock assessment,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300503,ANZ-300503,Fish pests and diseases,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300504,ANZ-300504,Fish physiology and genetics,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300505,ANZ-300505,Fisheries management,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300506,ANZ-300506,Post-harvest fisheries technologies (incl. transportation),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300599,ANZ-300599,Fisheries sciences not elsewhere classified,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300601,ANZ-300601,Beverage chemistry and beverage sensory science,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300602,ANZ-300602,Food chemistry and food sensory science,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300603,ANZ-300603,Food nutritional balance,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300604,ANZ-300604,"Food packaging, preservation and processing",other,ANZSRC-recognized research subject-area retrieval anchor
CF-300605,ANZ-300605,"Food safety, traceability, certification and authenticity",other,ANZSRC-recognized research subject-area retrieval anchor
CF-300606,ANZ-300606,Food sustainability,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300607,ANZ-300607,Food technology,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300699,ANZ-300699,Food sciences not elsewhere classified,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300701,ANZ-300701,Agroforestry,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300702,ANZ-300702,Forest biodiversity,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300703,ANZ-300703,Forest ecosystems,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300704,ANZ-300704,Forest health and pathology,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300705,ANZ-300705,Forestry biomass and bioproducts,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300706,ANZ-300706,Forestry fire management,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300707,ANZ-300707,Forestry management and environment,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300708,ANZ-300708,Forestry product quality assessment,other,ANZSRC-recognized research subject-area retrieval anchor
CF-300709,ANZ-300709,Tree improvement (incl. selection and breeding),other,ANZSRC-recognized research subject-area retrieval anchor
CF-300710,ANZ-300710,Tree nutrition and physiology,other,ANZSRC-recognized research subject-area retrieval anchor
