discipline_id,name,parent_id,level,description
ROOT,Research literature,,0,Root of the retrieval hierarchy
ANZ-30,"Agricultural, Veterinary and Food Sciences",ROOT,1,Official ANZSRC Division
ANZ-3001,Agricultural biotechnology,ANZ-30,2,Official ANZSRC Group
ANZ-300101,Agricultural biotechnology diagnostics (incl. biosensors),ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300102,Agricultural marine biotechnology,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300103,Agricultural molecular engineering of nucleic acids and proteins,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300104,Genetically modified animals,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300105,Genetically modified field crops and pasture,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300106,Genetically modified horticulture plants,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300107,Genetically modified trees,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300108,Livestock cloning,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300109,Non-genetically modified uses of biotechnology,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300110,Transgenesis,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-300199,Agricultural biotechnology not elsewhere classified,ANZ-3001,3,Official ANZSRC Field retrieval anchor
ANZ-3002,"Agriculture, land and farm management",ANZ-30,2,Official ANZSRC Group
ANZ-300201,Agricultural hydrology,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300202,Agricultural land management,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300203,Agricultural land planning,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300204,Agricultural management of nutrients,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300205,Agricultural production systems simulation,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300206,Agricultural spatial analysis and modelling,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300207,Agricultural systems analysis and modelling,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300208,"Farm management, rural management and agribusiness",ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300209,Germplasm management,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300210,Sustainable agricultural development,ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-300299,"Agriculture, land and farm management not elsewhere classified",ANZ-3002,3,Official ANZSRC Field retrieval anchor
ANZ-3003,Animal production,ANZ-30,2,Official ANZSRC Group
ANZ-300301,Animal growth and development,ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-300302,Animal management,ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-300303,Animal nutrition,ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-300304,Animal protection (incl. pests and pathogens),ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-300305,Animal reproduction and breeding,ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-300306,Animal welfare,ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-300307,Environmental studies in animal production,ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-300399,Animal production not elsewhere classified,ANZ-3003,3,Official ANZSRC Field retrieval anchor
ANZ-3004,Crop and pasture production,ANZ-30,2,Official ANZSRC Group
ANZ-300401,Agrochemicals and biocides (incl. application),ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300402,Agro-ecosystem function and prediction,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300403,Agronomy,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300404,Crop and pasture biochemistry and physiology,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300405,Crop and pasture biomass and bioproducts,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300406,Crop and pasture improvement (incl. selection and breeding),ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300407,Crop and pasture nutrition,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300408,Crop and pasture post harvest technologies (incl. transportation and storage),ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300409,"Crop and pasture protection (incl. pests, diseases and weeds)",ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300410,Crop and pasture waste water use,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300411,Fertilisers (incl. application),ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300412,Organic and low chemical input crop production,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300413,Pollination biology and systems,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-300499,Crop and pasture production not elsewhere classified,ANZ-3004,3,Official ANZSRC Field retrieval anchor
ANZ-3005,Fisheries sciences,ANZ-30,2,Official ANZSRC Group
ANZ-300501,Aquaculture,ANZ-3005,3,Official ANZSRC Field retrieval anchor
ANZ-300502,Aquaculture and fisheries stock assessment,ANZ-3005,3,Official ANZSRC Field retrieval anchor
ANZ-300503,Fish pests and diseases,ANZ-3005,3,Official ANZSRC Field retrieval anchor
ANZ-300504,Fish physiology and genetics,ANZ-3005,3,Official ANZSRC Field retrieval anchor
ANZ-300505,Fisheries management,ANZ-3005,3,Official ANZSRC Field retrieval anchor
ANZ-300506,Post-harvest fisheries technologies (incl. transportation),ANZ-3005,3,Official ANZSRC Field retrieval anchor
ANZ-300599,Fisheries sciences not elsewhere classified,ANZ-3005,3,Official ANZSRC Field retrieval anchor
ANZ-3006,Food sciences,ANZ-30,2,Official ANZSRC Group
ANZ-300601,Beverage chemistry and beverage sensory science,ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-300602,Food chemistry and food sensory science,ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-300603,Food nutritional balance,ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-300604,"Food packaging, preservation and processing",ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-300605,"Food safety, traceability, certification and authenticity",ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-300606,Food sustainability,ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-300607,Food technology,ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-300699,Food sciences not elsewhere classified,ANZ-3006,3,Official ANZSRC Field retrieval anchor
ANZ-3007,Forestry sciences,ANZ-30,2,Official ANZSRC Group
ANZ-300701,Agroforestry,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300702,Forest biodiversity,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300703,Forest ecosystems,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300704,Forest health and pathology,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300705,Forestry biomass and bioproducts,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300706,Forestry fire management,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300707,Forestry management and environment,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300708,Forestry product quality assessment,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300709,Tree improvement (incl. selection and breeding),ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300710,Tree nutrition and physiology,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300711,Wood fibre processing,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300712,Wood processing,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-300799,Forestry sciences not elsewhere classified,ANZ-3007,3,Official ANZSRC Field retrieval anchor
ANZ-3008,Horticultural production,ANZ-30,2,Official ANZSRC Group
