source_concept_id,relationship,target_concept_id
C000612,narrower_than,C000611
C000554,narrower_than,C000533
C000536,narrower_than,C000535
C000539,narrower_than,C000540
C000607,narrower_than,C000605
C000608,narrower_than,C000604
C000724,narrower_than,C000606
C000505,narrower_than,C000504
C000507,narrower_than,C000506
C000508,narrower_than,C000690
C000509,narrower_than,C000690
C000511,narrower_than,C000510
C000512,narrower_than,C000510
C000514,narrower_than,C000513
C000516,narrower_than,C000515
C000518,related_to,C000515
C000521,derived_from,C000520
C000523,narrower_than,C000522
C000524,instance_of,C000525
C000527,describes,C000528
C000529,describes,C000530
C000531,grounded_in,C000532
C000537,narrower_than,C000533
C000544,narrower_than,C000543
C000545,narrower_than,C000543
C000546,narrower_than,C000547
C000548,narrower_than,C000547
C000552,narrower_than,C000551
C000553,narrower_than,C000551
C000697,narrower_than,C000568
