concept_id,term,term_type,context
CF-300101,Agricultural biotechnology diagnostics (incl. biosensors),search_phrase,Canonical ANZSRC field phrase
CF-300101,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300102,Agricultural marine biotechnology,search_phrase,Canonical ANZSRC field phrase
CF-300102,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300103,Agricultural molecular engineering of nucleic acids and proteins,search_phrase,Canonical ANZSRC field phrase
CF-300103,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300104,Genetically modified animals,search_phrase,Canonical ANZSRC field phrase
CF-300104,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300105,Genetically modified field crops and pasture,search_phrase,Canonical ANZSRC field phrase
CF-300105,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300106,Genetically modified horticulture plants,search_phrase,Canonical ANZSRC field phrase
CF-300106,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300107,Genetically modified trees,search_phrase,Canonical ANZSRC field phrase
CF-300107,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300108,Livestock cloning,search_phrase,Canonical ANZSRC field phrase
CF-300108,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300109,Non-genetically modified uses of biotechnology,search_phrase,Canonical ANZSRC field phrase
CF-300109,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300110,Transgenesis,search_phrase,Canonical ANZSRC field phrase
CF-300110,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300199,Agricultural biotechnology not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300199,Agricultural biotechnology,broader,Immediate ANZSRC broader research group
CF-300201,Agricultural hydrology,search_phrase,Canonical ANZSRC field phrase
CF-300201,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300202,Agricultural land management,search_phrase,Canonical ANZSRC field phrase
CF-300202,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300203,Agricultural land planning,search_phrase,Canonical ANZSRC field phrase
CF-300203,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300204,Agricultural management of nutrients,search_phrase,Canonical ANZSRC field phrase
CF-300204,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300205,Agricultural production systems simulation,search_phrase,Canonical ANZSRC field phrase
CF-300205,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300206,Agricultural spatial analysis and modelling,search_phrase,Canonical ANZSRC field phrase
CF-300206,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300207,Agricultural systems analysis and modelling,search_phrase,Canonical ANZSRC field phrase
CF-300207,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300208,"Farm management, rural management and agribusiness",search_phrase,Canonical ANZSRC field phrase
CF-300208,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300209,Germplasm management,search_phrase,Canonical ANZSRC field phrase
CF-300209,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300210,Sustainable agricultural development,search_phrase,Canonical ANZSRC field phrase
CF-300210,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300299,"Agriculture, land and farm management not elsewhere classified",search_phrase,Canonical ANZSRC field phrase
CF-300299,"Agriculture, land and farm management",broader,Immediate ANZSRC broader research group
CF-300301,Animal growth and development,search_phrase,Canonical ANZSRC field phrase
CF-300301,Animal production,broader,Immediate ANZSRC broader research group
CF-300302,Animal management,search_phrase,Canonical ANZSRC field phrase
CF-300302,Animal production,broader,Immediate ANZSRC broader research group
CF-300303,Animal nutrition,search_phrase,Canonical ANZSRC field phrase
CF-300303,Animal production,broader,Immediate ANZSRC broader research group
CF-300304,Animal protection (incl. pests and pathogens),search_phrase,Canonical ANZSRC field phrase
CF-300304,Animal production,broader,Immediate ANZSRC broader research group
CF-300305,Animal reproduction and breeding,search_phrase,Canonical ANZSRC field phrase
CF-300305,Animal production,broader,Immediate ANZSRC broader research group
CF-300306,Animal welfare,search_phrase,Canonical ANZSRC field phrase
CF-300306,Animal production,broader,Immediate ANZSRC broader research group
CF-300307,Environmental studies in animal production,search_phrase,Canonical ANZSRC field phrase
CF-300307,Animal production,broader,Immediate ANZSRC broader research group
CF-300399,Animal production not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300399,Animal production,broader,Immediate ANZSRC broader research group
CF-300401,Agrochemicals and biocides (incl. application),search_phrase,Canonical ANZSRC field phrase
CF-300401,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300402,Agro-ecosystem function and prediction,search_phrase,Canonical ANZSRC field phrase
CF-300402,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300403,Agronomy,search_phrase,Canonical ANZSRC field phrase
CF-300403,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300404,Crop and pasture biochemistry and physiology,search_phrase,Canonical ANZSRC field phrase
CF-300404,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300405,Crop and pasture biomass and bioproducts,search_phrase,Canonical ANZSRC field phrase
CF-300405,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300406,Crop and pasture improvement (incl. selection and breeding),search_phrase,Canonical ANZSRC field phrase
CF-300406,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300407,Crop and pasture nutrition,search_phrase,Canonical ANZSRC field phrase
CF-300407,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300408,Crop and pasture post harvest technologies (incl. transportation and storage),search_phrase,Canonical ANZSRC field phrase
CF-300408,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300409,"Crop and pasture protection (incl. pests, diseases and weeds)",search_phrase,Canonical ANZSRC field phrase
CF-300409,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300410,Crop and pasture waste water use,search_phrase,Canonical ANZSRC field phrase
CF-300410,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300411,Fertilisers (incl. application),search_phrase,Canonical ANZSRC field phrase
CF-300411,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300412,Organic and low chemical input crop production,search_phrase,Canonical ANZSRC field phrase
CF-300412,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300413,Pollination biology and systems,search_phrase,Canonical ANZSRC field phrase
CF-300413,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300499,Crop and pasture production not elsewhere classified,search_phrase,Canonical ANZSRC field phrase
CF-300499,Crop and pasture production,broader,Immediate ANZSRC broader research group
CF-300501,Aquaculture,search_phrase,Canonical ANZSRC field phrase
CF-300501,Fisheries sciences,broader,Immediate ANZSRC broader research group
CF-300502,Aquaculture and fisheries stock assessment,search_phrase,Canonical ANZSRC field phrase
CF-300502,Fisheries sciences,broader,Immediate ANZSRC broader research group
CF-300503,Fish pests and diseases,search_phrase,Canonical ANZSRC field phrase
CF-300503,Fisheries sciences,broader,Immediate ANZSRC broader research group
CF-300504,Fish physiology and genetics,search_phrase,Canonical ANZSRC field phrase
CF-300504,Fisheries sciences,broader,Immediate ANZSRC broader research group
CF-300505,Fisheries management,search_phrase,Canonical ANZSRC field phrase
CF-300505,Fisheries sciences,broader,Immediate ANZSRC broader research group
CF-300506,Post-harvest fisheries technologies (incl. transportation),search_phrase,Canonical ANZSRC field phrase
